concepte,any,municipi,renda familiar disponible bruta,renda familiar disponible bruta,renda familiar disponible bruta
indicador,,,per habitant (índex Catalunya=100),per habitant (€),valor (milers €)
401,2002.0,Cornellà de Llobregat,77.9,10100.0,834052.0
402,2002.0,Cubelles,86.6,11300.0,91670.0
403,2002.0,Cunit,100.7,13100.0,92717.0
404,2002.0,Deltebre,95.0,12400.0,131200.0
405,2002.0,"Escala, l'",112.7,14600.0,98078.0
406,2002.0,Esparreguera,83.4,10800.0,206650.0
407,2002.0,Esplugues de Llobregat,95.7,12400.0,574912.0
408,2002.0,Falset,97.4,12700.0,32751.0
409,2002.0,Figueres,105.4,13700.0,490122.0
410,2002.0,"Franqueses del Vallès, les",88.1,11400.0,158593.0
411,2002.0,Gandesa,101.1,13100.0,36138.0
412,2002.0,"Garriga, la",101.9,13300.0,165415.0
413,2002.0,Gavà,87.0,11300.0,471719.0
414,2002.0,Girona,123.2,16000.0,1271128.0
415,2002.0,Granollers,92.4,12000.0,663732.0
416,2002.0,"Hospitalet de Llobregat, l'",78.8,10200.0,2514414.0
417,2002.0,Igualada,98.3,12800.0,433023.0
418,2002.0,"Llagosta, la",74.4,9700.0,120729.0
419,2002.0,Llagostera,93.2,12100.0,74888.0
420,2002.0,Lleida,110.2,14300.0,1668500.0
421,2002.0,Llinars del Vallès,88.9,11500.0,86589.0
422,2002.0,Lliçà d'Amunt,91.4,11900.0,132209.0
423,2002.0,Lliçà de Vall,102.4,13300.0,72706.0
424,2002.0,Lloret de Mar,93.3,12100.0,296477.0
425,2002.0,Malgrat de Mar,83.4,10800.0,165652.0
426,2002.0,Manlleu,89.6,11700.0,214262.0
427,2002.0,Manresa,95.0,12300.0,819195.0
428,2002.0,Martorell,82.8,10800.0,258698.0
429,2002.0,"Masnou, el",108.5,14100.0,297615.0
430,2002.0,Masquefa,85.2,11100.0,65941.0
431,2002.0,Matadepera,178.8,23200.0,172261.0
432,2002.0,Mataró,81.0,10500.0,1164909.0
433,2002.0,Molins de Rei,99.0,12900.0,277558.0
434,2002.0,Mollerussa,107.9,14000.0,145891.0
435,2002.0,Mollet del Vallès,80.1,10400.0,513813.0
436,2002.0,Mont-roig del Camp,101.9,13200.0,101588.0
437,2002.0,Montblanc,100.1,13000.0,82186.0
438,2002.0,Montcada i Reixac,80.4,10500.0,313701.0
439,2002.0,Montgat,89.9,11700.0,102023.0
440,2002.0,Montmeló,80.1,10400.0,90678.0
441,2002.0,Montornès del Vallès,79.4,10300.0,137617.0
442,2002.0,Móra d'Ebre,109.3,14200.0,68392.0
443,2002.0,Navarcles,88.6,11500.0,62449.0
